environment,algorithm_name,env_n,states_n,actions_count,actions_cost,time,solution_found
uniform_cost,random,1,74703,74702,74702,0.1553175449371338,True
uniform_cost,random,2,88731,88730,88730,0.19748497009277344,True
uniform_cost,random,3,20927,20926,20926,0.058455467224121094,True
uniform_cost,random,4,88049,88048,88048,0.19994807243347168,True
uniform_cost,random,5,31731,31730,31730,0.07010245323181152,True
uniform_cost,random,6,9913,9912,9912,0.03203988075256348,True
uniform_cost,random,7,96257,96256,96256,0.37747907638549805,True
uniform_cost,random,8,47557,47556,47556,0.12304806709289551,True
uniform_cost,random,9,45685,45684,45684,0.09017562866210938,True
uniform_cost,random,10,44251,44250,44250,0.08516144752502441,True
uniform_cost,random,11,116249,116248,116248,0.22762632369995117,True
uniform_cost,random,12,229929,229928,229928,0.49585747718811035,True
uniform_cost,random,13,80373,80372,80372,0.19072890281677246,True
uniform_cost,random,14,71111,71110,71110,0.15189528465270996,True
uniform_cost,random,15,133887,133886,133886,0.3064126968383789,True
uniform_cost,random,16,229063,229062,229062,0.4949061870574951,True
uniform_cost,random,17,82341,82340,82340,0.20136451721191406,True
uniform_cost,random,18,73025,73024,73024,0.15297603607177734,True
uniform_cost,random,19,379243,379242,379242,0.8300783634185791,True
uniform_cost,random,20,176533,176532,176532,0.459458589553833,True
uniform_cost,random,21,213389,213388,213388,0.4761316776275635,True
uniform_cost,random,22,84917,84916,84916,0.20395255088806152,True
uniform_cost,random,23,755707,755706,755706,1.7535772323608398,True
uniform_cost,random,24,26361,26360,26360,0.105255126953125,True
uniform_cost,random,25,119481,119480,119480,0.22606515884399414,True
uniform_cost,random,26,90115,90114,90114,0.1994764804840088,True
uniform_cost,random,27,321367,321366,321366,0.7126531600952148,True
uniform_cost,random,28,333997,333996,333996,0.7888138294219971,True
uniform_cost,random,29,109063,109062,109062,0.2753288745880127,True
uniform_cost,random,30,27695,27694,27694,0.0642707347869873,True
uniform_cost,breadth_first,1,9226,198,198,0.1268937587738037,True
uniform_cost,breadth_first,2,9155,198,198,0.13709092140197754,True
uniform_cost,breadth_first,3,9184,198,198,0.129075288772583,True
uniform_cost,breadth_first,4,9192,198,198,0.12923812866210938,True
uniform_cost,breadth_first,5,9179,198,198,0.13620257377624512,True
uniform_cost,breadth_first,6,9178,198,198,0.12618589401245117,True
uniform_cost,breadth_first,7,9240,198,198,0.12881231307983398,True
uniform_cost,breadth_first,8,9180,198,198,0.12726354598999023,True
uniform_cost,breadth_first,9,9211,198,198,0.1315605640411377,True
uniform_cost,breadth_first,10,9235,198,198,0.1273341178894043,True
uniform_cost,breadth_first,11,9205,198,198,0.12504982948303223,True
uniform_cost,breadth_first,12,9234,198,198,0.13185763359069824,True
uniform_cost,breadth_first,13,9207,198,198,0.125535249710083,True
uniform_cost,breadth_first,14,9201,198,198,0.13167476654052734,True
uniform_cost,breadth_first,15,9198,198,198,0.1316084861755371,True
uniform_cost,breadth_first,16,9190,198,198,0.13561701774597168,True
uniform_cost,breadth_first,17,9196,198,198,0.12653470039367676,True
uniform_cost,breadth_first,18,9225,198,198,0.13112378120422363,True
uniform_cost,breadth_first,19,9174,198,198,0.12583374977111816,True
uniform_cost,breadth_first,20,9158,198,198,0.1273341178894043,True
uniform_cost,breadth_first,21,9145,198,198,0.12852239608764648,True
uniform_cost,breadth_first,22,9188,198,198,0.12768316268920898,True
uniform_cost,breadth_first,23,9196,198,198,0.13050031661987305,True
uniform_cost,breadth_first,24,9197,198,198,0.1368875503540039,True
uniform_cost,breadth_first,25,9228,198,198,0.1326296329498291,True
uniform_cost,breadth_first,26,9208,198,198,0.13051295280456543,True
uniform_cost,breadth_first,27,9181,198,198,0.12421631813049316,True
uniform_cost,breadth_first,28,9199,198,198,0.12611150741577148,True
uniform_cost,breadth_first,29,9209,198,198,0.1327507495880127,True
uniform_cost,breadth_first,30,9187,198,198,0.13016295433044434,True
uniform_cost,depth_first,1,582,554,554,0.03201746940612793,True
uniform_cost,depth_first,2,226,218,218,0.004361391067504883,True
uniform_cost,depth_first,3,227,226,226,0.004257678985595703,True
uniform_cost,depth_first,4,424,408,408,0.018949508666992188,True
uniform_cost,depth_first,5,236,224,224,0.0044307708740234375,True
uniform_cost,depth_first,6,227,224,224,0.004342794418334961,True
uniform_cost,depth_first,7,462,442,442,0.022481203079223633,True
uniform_cost,depth_first,8,221,218,218,0.004163980484008789,True
uniform_cost,depth_first,9,483,466,466,0.023813486099243164,True
uniform_cost,depth_first,10,308,300,300,0.009866952896118164,True
uniform_cost,depth_first,11,222,218,218,0.0042803287506103516,True
uniform_cost,depth_first,12,546,526,526,0.03415536880493164,True
uniform_cost,depth_first,13,313,302,302,0.008961915969848633,True
uniform_cost,depth_first,14,235,226,226,0.005346536636352539,True
uniform_cost,depth_first,15,697,632,632,0.06261253356933594,True
uniform_cost,depth_first,16,237,226,226,0.004486083984375,True
uniform_cost,depth_first,17,386,362,362,0.012840509414672852,True
uniform_cost,depth_first,18,660,600,600,0.04461812973022461,True
uniform_cost,depth_first,19,582,550,550,0.034824371337890625,True
uniform_cost,depth_first,20,380,352,352,0.012791156768798828,True
uniform_cost,depth_first,21,222,218,218,0.0042591094970703125,True
uniform_cost,depth_first,22,232,228,228,0.005056619644165039,True
uniform_cost,depth_first,23,848,752,752,0.06682968139648438,True
uniform_cost,depth_first,24,236,232,232,0.006785869598388672,True
uniform_cost,depth_first,25,542,530,530,0.031177043914794922,True
uniform_cost,depth_first,26,382,360,360,0.012447357177734375,True
uniform_cost,depth_first,27,461,438,438,0.017833232879638672,True
uniform_cost,depth_first,28,317,300,300,0.009881734848022461,True
uniform_cost,depth_first,29,401,376,376,0.014261245727539062,True
uniform_cost,depth_first,30,351,334,334,0.01094508171081543,True
uniform_cost,uniform_cost,1,9226,198,198,0.28175830841064453,True
uniform_cost,uniform_cost,2,9155,198,198,0.284564733505249,True
uniform_cost,uniform_cost,3,9184,198,198,0.2857356071472168,True
uniform_cost,uniform_cost,4,9192,198,198,0.283566951751709,True
uniform_cost,uniform_cost,5,9179,198,198,0.2766151428222656,True
uniform_cost,uniform_cost,6,9178,198,198,0.29265475273132324,True
uniform_cost,uniform_cost,7,9240,198,198,0.2825329303741455,True
uniform_cost,uniform_cost,8,9180,198,198,0.276214599609375,True
uniform_cost,uniform_cost,9,9211,198,198,0.29373931884765625,True
uniform_cost,uniform_cost,10,9235,198,198,0.2831900119781494,True
uniform_cost,uniform_cost,11,9205,198,198,0.27344202995300293,True
uniform_cost,uniform_cost,12,9234,198,198,0.2881584167480469,True
uniform_cost,uniform_cost,13,9207,198,198,0.31819820404052734,True
uniform_cost,uniform_cost,14,9201,198,198,0.2884957790374756,True
uniform_cost,uniform_cost,15,9199,198,198,0.3210029602050781,True
uniform_cost,uniform_cost,16,9190,198,198,0.2748982906341553,True
uniform_cost,uniform_cost,17,9196,198,198,0.28022265434265137,True
uniform_cost,uniform_cost,18,9225,198,198,0.27791380882263184,True
uniform_cost,uniform_cost,19,9174,198,198,0.2765512466430664,True
uniform_cost,uniform_cost,20,9158,198,198,0.27527928352355957,True
uniform_cost,uniform_cost,21,9145,198,198,0.28077197074890137,True
uniform_cost,uniform_cost,22,9188,198,198,0.2816810607910156,True
uniform_cost,uniform_cost,23,9196,198,198,0.28078675270080566,True
uniform_cost,uniform_cost,24,9197,198,198,0.306581974029541,True
uniform_cost,uniform_cost,25,9228,198,198,0.2843196392059326,True
uniform_cost,uniform_cost,26,9208,198,198,0.284512996673584,True
uniform_cost,uniform_cost,27,9181,198,198,0.274799108505249,True
uniform_cost,uniform_cost,28,9199,198,198,0.28972578048706055,True
uniform_cost,uniform_cost,29,9209,198,198,0.2850162982940674,True
uniform_cost,uniform_cost,30,9187,198,198,0.285214900970459,True
uniform_cost,astar,1,8544,198,198,0.7361664772033691,True
uniform_cost,astar,2,7955,198,198,0.6512670516967773,True
uniform_cost,astar,3,8318,198,198,0.672936201095581,True
uniform_cost,astar,4,8190,198,198,0.6506397724151611,True
uniform_cost,astar,5,8383,198,198,0.726661205291748,True
uniform_cost,astar,6,8388,198,198,0.6588070392608643,True
uniform_cost,astar,7,8317,198,198,0.7394909858703613,True
uniform_cost,astar,8,8307,198,198,0.7079415321350098,True
uniform_cost,astar,9,8418,198,198,0.7579460144042969,True
uniform_cost,astar,10,8285,198,198,0.6984083652496338,True
uniform_cost,astar,11,8391,198,198,0.6665034294128418,True
uniform_cost,astar,12,8080,198,198,0.678356409072876,True
uniform_cost,astar,13,8410,198,198,0.7276833057403564,True
uniform_cost,astar,14,8264,198,198,0.6726505756378174,True
uniform_cost,astar,15,8239,198,198,0.6647670269012451,True
uniform_cost,astar,16,8239,198,198,0.7250022888183594,True
uniform_cost,astar,17,8263,198,198,0.6393933296203613,True
uniform_cost,astar,18,8435,198,198,0.7310318946838379,True
uniform_cost,astar,19,8221,198,198,0.6238703727722168,True
uniform_cost,astar,20,8362,198,198,0.700629472732544,True
uniform_cost,astar,21,7931,198,198,0.7156131267547607,True
uniform_cost,astar,22,7879,198,198,0.655785322189331,True
uniform_cost,astar,23,8156,198,198,0.6910488605499268,True
uniform_cost,astar,24,8250,198,198,0.6214649677276611,True
uniform_cost,astar,25,8705,198,198,0.6601772308349609,True
uniform_cost,astar,26,8278,198,198,0.7164027690887451,True
uniform_cost,astar,27,8689,198,198,0.6919643878936768,True
uniform_cost,astar,28,8780,198,198,0.719508171081543,True
uniform_cost,astar,29,8336,198,198,0.7191293239593506,True
uniform_cost,astar,30,8426,198,198,0.6711380481719971,True
vertical_cost,random,1,179907,179906,994973,0.36983537673950195,True
vertical_cost,random,2,51473,51472,283177,0.13962721824645996,True
vertical_cost,random,3,41985,41984,230777,0.08113503456115723,True
vertical_cost,random,4,39909,39908,219251,0.09353113174438477,True
vertical_cost,random,5,262749,262748,1448237,0.5979108810424805,True
vertical_cost,random,6,282485,282484,1556173,0.7131674289703369,True
vertical_cost,random,7,80487,80486,445121,0.1676924228668213,True
vertical_cost,random,8,136779,136778,750065,0.2769358158111572,True
vertical_cost,random,9,28931,28930,159259,0.06391334533691406,True
vertical_cost,random,10,93281,93280,512995,0.1840345859527588,True
vertical_cost,random,11,70121,70120,383095,0.1834394931793213,True
vertical_cost,random,12,204475,204474,1124733,0.4244868755340576,True
vertical_cost,random,13,158805,158804,870353,0.3455169200897217,True
vertical_cost,random,14,79013,79012,436789,0.15609073638916016,True
vertical_cost,random,15,59285,59284,326719,0.12775635719299316,True
vertical_cost,random,16,328595,328594,1809625,0.7338051795959473,True
vertical_cost,random,17,41575,41574,228225,0.10299992561340332,True
vertical_cost,random,18,14653,14652,79911,0.0410616397857666,True
vertical_cost,random,19,98243,98242,540691,0.20838499069213867,True
vertical_cost,random,20,277233,277232,1522517,0.6222562789916992,True
vertical_cost,random,21,74981,74980,412831,0.20103693008422852,True
vertical_cost,random,22,116377,116376,639573,0.2384932041168213,True
vertical_cost,random,23,342637,342636,1881933,0.7999773025512695,True
vertical_cost,random,24,399443,399442,2196409,0.9503748416900635,True
vertical_cost,random,25,105387,105386,580505,0.278273344039917,True
vertical_cost,random,26,140013,140012,768167,0.29404687881469727,True
vertical_cost,random,27,76375,76374,420471,0.19185876846313477,True
vertical_cost,random,28,16179,16178,89861,0.04124617576599121,True
vertical_cost,random,29,127685,127684,702721,0.2589292526245117,True
vertical_cost,random,30,35183,35182,195535,0.07491827011108398,True
vertical_cost,breadth_first,1,9226,198,1089,0.13462042808532715,True
vertical_cost,breadth_first,2,9155,198,1089,0.1469893455505371,True
vertical_cost,breadth_first,3,9184,198,1089,0.12915754318237305,True
vertical_cost,breadth_first,4,9192,198,1089,0.12703394889831543,True
vertical_cost,breadth_first,5,9179,198,1089,0.1272721290588379,True
vertical_cost,breadth_first,6,9178,198,1089,0.1433110237121582,True
vertical_cost,breadth_first,7,9240,198,1089,0.12787985801696777,True
vertical_cost,breadth_first,8,9180,198,1089,0.12775397300720215,True
vertical_cost,breadth_first,9,9211,198,1089,0.13080477714538574,True
vertical_cost,breadth_first,10,9235,198,1089,0.1358940601348877,True
vertical_cost,breadth_first,11,9205,198,1089,0.13208794593811035,True
vertical_cost,breadth_first,12,9234,198,1089,0.13296866416931152,True
vertical_cost,breadth_first,13,9207,198,1089,0.13503599166870117,True
vertical_cost,breadth_first,14,9201,198,1089,0.1279582977294922,True
vertical_cost,breadth_first,15,9198,198,1089,0.12927770614624023,True
vertical_cost,breadth_first,16,9190,198,1089,0.12854433059692383,True
vertical_cost,breadth_first,17,9196,198,1089,0.12925100326538086,True
vertical_cost,breadth_first,18,9225,198,1089,0.13143062591552734,True
vertical_cost,breadth_first,19,9174,198,1089,0.13863444328308105,True
vertical_cost,breadth_first,20,9158,198,1089,0.13360285758972168,True
vertical_cost,breadth_first,21,9145,198,1089,0.13207221031188965,True
vertical_cost,breadth_first,22,9188,198,1089,0.132401704788208,True
vertical_cost,breadth_first,23,9196,198,1089,0.13163089752197266,True
vertical_cost,breadth_first,24,9197,198,1089,0.12772679328918457,True
vertical_cost,breadth_first,25,9228,198,1089,0.13476800918579102,True
vertical_cost,breadth_first,26,9208,198,1089,0.12912893295288086,True
vertical_cost,breadth_first,27,9181,198,1089,0.1307675838470459,True
vertical_cost,breadth_first,28,9199,198,1089,0.12847495079040527,True
vertical_cost,breadth_first,29,9209,198,1089,0.1308286190032959,True
vertical_cost,breadth_first,30,9187,198,1089,0.13147377967834473,True
vertical_cost,depth_first,1,582,554,3965,0.03729057312011719,True
vertical_cost,depth_first,2,226,218,1199,0.004500389099121094,True
vertical_cost,depth_first,3,227,226,1243,0.0077838897705078125,True
vertical_cost,depth_first,4,424,408,2829,0.017969608306884766,True
vertical_cost,depth_first,5,236,224,1259,0.00438690185546875,True
vertical_cost,depth_first,6,227,224,1277,0.004423379898071289,True
vertical_cost,depth_first,7,462,442,3025,0.020500659942626953,True
vertical_cost,depth_first,8,221,218,1217,0.004209280014038086,True
vertical_cost,depth_first,9,483,466,3085,0.025107860565185547,True
vertical_cost,depth_first,10,308,300,1893,0.009124517440795898,True
vertical_cost,depth_first,11,222,218,1199,0.0045545101165771484,True
vertical_cost,depth_first,12,546,526,3793,0.034395456314086914,True
vertical_cost,depth_first,13,313,302,1787,0.010825395584106445,True
vertical_cost,depth_first,14,235,226,1279,0.004358530044555664,True
vertical_cost,depth_first,15,697,632,4457,0.04503154754638672,True
vertical_cost,depth_first,16,237,226,1261,0.0044362545013427734,True
vertical_cost,depth_first,17,386,362,2279,0.01491403579711914,True
vertical_cost,depth_first,18,660,600,4335,0.0499575138092041,True
vertical_cost,depth_first,19,582,550,3907,0.03408551216125488,True
vertical_cost,depth_first,20,380,352,2215,0.013360261917114258,True
vertical_cost,depth_first,21,222,218,1181,0.004359006881713867,True
vertical_cost,depth_first,22,232,228,1245,0.004439115524291992,True
vertical_cost,depth_first,23,848,752,5297,0.06984901428222656,True
vertical_cost,depth_first,24,236,232,1339,0.0051555633544921875,True
vertical_cost,depth_first,25,542,530,3869,0.03163862228393555,True
vertical_cost,depth_first,26,382,360,2349,0.013387918472290039,True
vertical_cost,depth_first,27,461,438,2877,0.01891469955444336,True
vertical_cost,depth_first,28,317,300,1875,0.009481668472290039,True
vertical_cost,depth_first,29,401,376,2509,0.014961481094360352,True
vertical_cost,depth_first,30,351,334,2017,0.011245965957641602,True
vertical_cost,uniform_cost,1,9226,198,1089,0.31200480461120605,True
vertical_cost,uniform_cost,2,9155,198,1089,0.32119154930114746,True
vertical_cost,uniform_cost,3,9184,198,1089,0.321519136428833,True
vertical_cost,uniform_cost,4,9192,198,1089,0.30510783195495605,True
vertical_cost,uniform_cost,5,9179,198,1089,0.3065986633300781,True
vertical_cost,uniform_cost,6,9178,198,1089,0.31035876274108887,True
vertical_cost,uniform_cost,7,9240,198,1089,0.31475305557250977,True
vertical_cost,uniform_cost,8,9180,198,1089,0.3010749816894531,True
vertical_cost,uniform_cost,9,9211,198,1089,0.31517648696899414,True
vertical_cost,uniform_cost,10,9235,198,1089,0.32633161544799805,True
vertical_cost,uniform_cost,11,9205,198,1089,0.31047701835632324,True
vertical_cost,uniform_cost,12,9234,198,1089,0.32030177116394043,True
vertical_cost,uniform_cost,13,9207,198,1089,0.31914281845092773,True
vertical_cost,uniform_cost,14,9201,198,1089,0.31080079078674316,True
vertical_cost,uniform_cost,15,9198,198,1089,0.33237576484680176,True
vertical_cost,uniform_cost,16,9190,198,1089,0.31351685523986816,True
vertical_cost,uniform_cost,17,9196,198,1089,0.3054323196411133,True
vertical_cost,uniform_cost,18,9225,198,1089,0.31690526008605957,True
vertical_cost,uniform_cost,19,9174,198,1089,0.3019239902496338,True
vertical_cost,uniform_cost,20,9158,198,1089,0.3045942783355713,True
vertical_cost,uniform_cost,21,9145,198,1089,0.3406550884246826,True
vertical_cost,uniform_cost,22,9188,198,1089,0.30495357513427734,True
vertical_cost,uniform_cost,23,9196,198,1089,0.3058779239654541,True
vertical_cost,uniform_cost,24,9197,198,1089,0.31189823150634766,True
vertical_cost,uniform_cost,25,9228,198,1089,0.3094632625579834,True
vertical_cost,uniform_cost,26,9208,198,1089,0.31174540519714355,True
vertical_cost,uniform_cost,27,9181,198,1089,0.3132014274597168,True
vertical_cost,uniform_cost,28,9199,198,1089,0.3117256164550781,True
vertical_cost,uniform_cost,29,9209,198,1089,0.3267967700958252,True
vertical_cost,uniform_cost,30,9187,198,1089,0.30831265449523926,True
vertical_cost,astar,1,8544,198,1089,0.7479512691497803,True
vertical_cost,astar,2,7955,198,1089,0.6360805034637451,True
vertical_cost,astar,3,8318,198,1089,0.6817877292633057,True
vertical_cost,astar,4,8190,198,1089,0.6805927753448486,True
vertical_cost,astar,5,8383,198,1089,0.736083984375,True
vertical_cost,astar,6,8388,198,1089,0.6751689910888672,True
vertical_cost,astar,7,8317,198,1089,0.7829744815826416,True
vertical_cost,astar,8,8307,198,1089,0.6925053596496582,True
vertical_cost,astar,9,8418,198,1089,0.7543065547943115,True
vertical_cost,astar,10,8285,198,1089,0.7063961029052734,True
vertical_cost,astar,11,8391,198,1089,0.6805801391601562,True
vertical_cost,astar,12,8080,198,1089,0.6740849018096924,True
vertical_cost,astar,13,8410,198,1089,0.7344264984130859,True
vertical_cost,astar,14,8264,198,1089,0.7339444160461426,True
vertical_cost,astar,15,8239,198,1089,0.679229736328125,True
vertical_cost,astar,16,8239,198,1089,0.6910924911499023,True
vertical_cost,astar,17,8263,198,1089,0.643165111541748,True
vertical_cost,astar,18,8435,198,1089,0.7339673042297363,True
vertical_cost,astar,19,8221,198,1089,0.627047061920166,True
vertical_cost,astar,20,8362,198,1089,0.7241241931915283,True
vertical_cost,astar,21,7931,198,1089,0.7113180160522461,True
vertical_cost,astar,22,7879,198,1089,0.6783266067504883,True
vertical_cost,astar,23,8156,198,1089,0.7049546241760254,True
vertical_cost,astar,24,8250,198,1089,0.6583540439605713,True
vertical_cost,astar,25,8705,198,1089,0.6703436374664307,True
vertical_cost,astar,26,8278,198,1089,0.7010526657104492,True
vertical_cost,astar,27,8689,198,1089,0.7150366306304932,True
vertical_cost,astar,28,8780,198,1089,0.7306394577026367,True
vertical_cost,astar,29,8336,198,1089,0.7851612567901611,True
vertical_cost,astar,30,8426,198,1089,0.6790328025817871,True
